Url,Address,Purchase Price,Units,County,Zip,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,
PAGE https://www.coldwellbankerhomes.com/ca/alameda-county/kvc-17_2/,STATUS CODE 200,COLDWELLBANKERHOMES.COM,ITEMS SCRAPED 0,PAGE 1,PAGE 1,PAGE 1,PAGE 1,PAGE 1,PAGE 1,PAGE 1,
https://www.coldwellbankerhomes.com/ca/oakland/498-stow-ave/pid_56355781/,"498 Stow Ave , Oakland, CA 94606","$1,650,000",3,ALAMEDACOUNTY,94606,"$1,390","$1,670","$2,050","$2,710","$3,230",
https://www.coldwellbankerhomes.com/ca/castro-valley/18981-lake-chabot-rd/pid_56348848/,"18981 Lake Chabot Rd , Castro Valley, CA 94546","$1,095,000",1,ALAMEDACOUNTY,94546,"$1,600","$1,900","$2,320","$3,030","$3,580",
https://www.coldwellbankerhomes.com/ca/oakland/6285-sunnymere-ave/pid_56330600/,"6285 Sunnymere Ave , Oakland, CA 94605","$725,000",2,ALAMEDACOUNTY,94605,"$1,390","$1,670","$2,050","$2,710","$3,230",
https://www.coldwellbankerhomes.com/ca/oakland/432-38th-st/pid_56316405/,"432 38th St , Oakland, CA 94609","$1,688,000",1,ALAMEDACOUNTY,94609,"$1,720","$2,050","$2,500","$3,270","$3,850",
https://www.coldwellbankerhomes.com/ca/oakland/1021-17th-st/pid_56309747/,"1021 17th St , Oakland, CA 94606","$1,100,000",1,ALAMEDACOUNTY,94606,"$1,390","$1,670","$2,050","$2,710","$3,230",
https://www.coldwellbankerhomes.com/ca/oakland/5708-los-angeles-st/pid_56315181/,"5708 Los Angeles St , Oakland, CA 94608","$998,000",4,ALAMEDACOUNTY,94608,"$1,830","$2,170","$2,650","$3,460","$4,080",
https://www.coldwellbankerhomes.com/ca/castro-valley/17500-ehle-st/pid_56301070/,"17500 Ehle St , Castro Valley, CA 94546","$1,595,000",1,ALAMEDACOUNTY,94546,"$1,600","$1,900","$2,320","$3,030","$3,580",
https://www.coldwellbankerhomes.com/ca/oakland/1066-54th-st/pid_56286385/,"1066 54th St , Oakland, CA 94608","$1,100,000",2,ALAMEDACOUNTY,94608,"$1,830","$2,170","$2,650","$3,460","$4,080",
https://www.coldwellbankerhomes.com/ca/oakland/2315-harrison-st/pid_56262995/,"2315 Harrison St , Oakland, CA 94612","$1,050,000",4,ALAMEDACOUNTY,94612,"$1,690","$2,010","$2,450","$3,200","$3,780",
https://www.coldwellbankerhomes.com/ca/oakland/515-42nd-st/pid_56230119/,"515 42nd St , Oakland, CA 94609","$1,600,000",4,ALAMEDACOUNTY,94609,"$1,720","$2,050","$2,500","$3,270","$3,850",
https://www.coldwellbankerhomes.com/ca/hayward/754-bartlett-ave/pid_56198637/,"754 Bartlett Ave , Hayward, CA 94541","$1,495,000",1,ALAMEDACOUNTY,94541,"$1,540","$1,830","$2,230","$2,910","$3,440",
https://www.coldwellbankerhomes.com/ca/hayward/22615-alice-st/pid_56198638/,"22615 Alice St , Hayward, CA 94541","$1,395,000",2,ALAMEDACOUNTY,94541,"$1,540","$1,830","$2,230","$2,910","$3,440",
https://www.coldwellbankerhomes.com/ca/oakland/3008-myrtle-st/pid_56190128/,"3008 Myrtle St , Oakland, CA 94608","$1,195,000",1,ALAMEDACOUNTY,94608,"$1,830","$2,170","$2,650","$3,460","$4,080",
https://www.coldwellbankerhomes.com/ca/oakland/6518-raymond-st/pid_56169256/,"6518 Raymond St , Oakland, CA 94609","$750,000",1,ALAMEDACOUNTY,94609,"$1,720","$2,050","$2,500","$3,270","$3,850",
https://www.coldwellbankerhomes.com/ca/oakland/1819-7th-ave/pid_56169694/,"1819 7th Ave , Oakland, CA 94606","$3,800,000",2,ALAMEDACOUNTY,94606,"$1,390","$1,670","$2,050","$2,710","$3,230",
https://www.coldwellbankerhomes.com/ca/alameda/1629-santa-clara-ave/pid_56156286/,"1629 Santa Clara Ave , Alameda, CA 94501","$2,275,000",4,ALAMEDACOUNTY,94501,"$1,730","$2,060","$2,510","$3,280","$3,870",
https://www.coldwellbankerhomes.com/ca/oakland/1425-9th-ave/pid_56167143/,"1425 9th Ave , Oakland, CA 94606","$799,000",1,ALAMEDACOUNTY,94606,"$1,390","$1,670","$2,050","$2,710","$3,230",
https://www.coldwellbankerhomes.com/ca/oakland/479-merritt-ave/pid_56131021/,"479 Merritt Ave , Oakland, CA 94610","$5,100,000",2,ALAMEDACOUNTY,94610,"$1,690","$2,010","$2,450","$3,200","$3,780",
https://www.coldwellbankerhomes.com/ca/berkeley/1345-parker-st/pid_56132886/,"1345 Parker St , Berkeley, CA 94702","$1,199,000",2,ALAMEDACOUNTY,94702,"$1,520","$1,810","$2,210","$2,890","$3,410",
https://www.coldwellbankerhomes.com/ca/oakland/5243-macarthur-blvd/pid_56107236/,"5243 MacArthur Blvd , Oakland, CA 94619","$950,000",4,ALAMEDACOUNTY,94619,"$1,430","$1,700","$2,080","$2,720","$3,230",
https://www.coldwellbankerhomes.com/ca/pleasanton/148-spring-st/pid_56083981/,"148 Spring St , Pleasanton, CA 94566","$2,650,000",1,ALAMEDACOUNTY,94566,"$2,100","$2,500","$3,050","$3,990","$4,700",
